03:51:31.846686 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:32.870671 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:33.894569 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:34.918538 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:35.942736 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:36.864253 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:37.888389 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:38.912423 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:39.936446 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:51:40.755680 26:b0:14:8a:0f:cf > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.6, length 28
03:51:41.779602 26:b0:14:8a:0f:cf > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.6, length 28
03:51:42.189124 26:b0:14:8a:0f:cf > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.6, length 28
03:51:44.545230 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:51:44.545241 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:52:02.843028 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:52:02.857950 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:52:03.898637 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:52:07.499983 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:52:07.499993 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:52:15.162850 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:52:41.173157 66:5b:22:f3:c6:53 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.5, length 28
03:52:41.790554 26:b0:14:8a:0f:cf > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.6, length 28
03:52:42.094761 26:b0:14:8a:0f:cf > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.6, length 28
03:52:42.197060 66:5b:22:f3:c6:53 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.5, length 28
03:52:42.606690 66:5b:22:f3:c6:53 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.5, length 28
03:52:42.914078 66:5b:22:f3:c6:53 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.5, length 28
03:52:43.016306 26:b0:14:8a:0f:cf > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.6, length 28
03:52:43.630697 26:b0:14:8a:0f:cf > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.6, length 28
03:52:48.922910 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:52:48.934435 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:52:55.489964 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:52:55.489975 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:53:16.194898 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:53:32.989499 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:53:32.989510 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:53:33.655650 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:53:33.655660 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:53:42.639896 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:53:42.639906 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:53:50.362931 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:53:50.375112 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:53:52.240307 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:53:53.161947 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:53:54.185902 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:54:06.576925 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:54:07.600924 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:54:08.624739 20:0c:86:b9:be:60 > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.6 tell 192.168.1.1, length 28
03:54:17.226503 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
03:54:29.969508 20:0c:86:b9:be:60 > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.1, length 28
03:54:29.969532 d4:1b:81:ac:5b:29 > 20:0c:86:b9:be:60, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:54:47.232133 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.28 tell 192.168.1.10, length 28
03:54:47.232146 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Reply 192.168.1.28 is-at d4:1b:81:ac:5b:29, length 28
03:55:12.794906 d4:1b:81:ac:5b:29 > 8a:75:31:15:cb:3e, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.10 tell 192.168.1.28, length 28
03:55:12.811001 8a:75:31:15:cb:3e > d4:1b:81:ac:5b:29, ethertype ARP (0x0806), length 42: Reply 192.168.1.10 is-at 8a:75:31:15:cb:3e, length 28
03:55:18.258543 22:85:56:cf:b3:af > ff:ff:ff:ff:ff:ff, ethertype ARP (0x0806), length 42: Request who-has 192.168.1.1 tell 192.168.1.15, length 28
